Context,"English","Gibberish","French","Spanish","German","Korean","BrazillianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","Turkish"
"","Pedestal","Pedestal","Socle","Pedestal","Sockel","받침대","Pedestal","底座","Пьедестал","Piedistallo","Pedestal","Pedestal","台座","Pedestal","Postument","Piedestal","Postament","Piedestal","Podstavec","Piedestal","","","","",""
"","The pedestal for the statues made of gold, glass or copper","The pedestal for the statues made of gold, glass or copper","Le socle pour les statues en or, verre ou cuivre","El pedestal para las estatuas de oro, vidrio o cobre","Das Sockel für die Statuen aus Gold, Glas oder Kupfer","금, 유리 또는 구리로 만든 조각상의 받침대","Pedestal para estátuas feitas de ouro, vidro ou cobre","金、玻璃或铜制雕像的底座","Пьедестал для статуй из золота, стекла или меди","Il piedistallo per le statue in oro, vetro o rame","O pedestal para as estátuas feitas de ouro, vidro ou cobre","Az aranyból, üvegből vagy rézből készült szobrok talapzata","金、ガラス、銅製の彫像の台座","Statuer av gull, glass eller kobber har denne sokkelen","Podest dla statuetek wykonanych ze złota, szkła lub miedzi","De sokkel voor de standbeelden van goud, glas of koper","Soclul pentru statuile din aur, sticlă sau cupru","Soklen til statuer lavet af guld, glas eller kobber","Podstavec pro sochy zlaté, skleněné nebo měděné","Stativet för statyer gjorda av guld, glas eller koppar","","","","",""
"","Copper Bear Statue","Copper Bear Statue","Statue d'ours en cuivre","Estatua de oso de cobre","Kupferbärenstatue","구리 곰 동상","Estátua de urso de cobre","铜熊雕像","Медная статуя медведя","Statua di orso in rame","Estátua de urso de cobre","Réz medve szobor","銅のクマの彫像","Kobberbjørnstatue","Miedziany posąg niedźwiedzia","Koperen Berenstandbeeld","Statuie cu urs din cupru","Kobberbjørnestatue","Měděná socha medvěda","Kopparbjörnstaty","","","","",""
"","Bear made of copper that never needs a veterinarian, but will turn green with age","Bear made of copper that never needs a veterinarian, but will turn green with age","Ours en cuivre qui n'a jamais besoin de vétérinaire, mais qui deviendra vert avec le temps","Oso de cobre que nunca necesita un veterinario, pero se pondrá verde con el tiempo","Ein Bär aus Kupfer, der nie einen Tierarzt braucht, aber mit der Zeit grün wird","구리로 만든 곰은 수의사가 필요 없지만 시간이 지남에 따라 녹색으로 변합니다","Urso de cobre que nunca precisa de um veterinário, mas ficará verde com o tempo","铜制的熊永远不需要兽医，但会随着时间变绿","Медведь из меди, которому никогда не нужен ветеринар, но со временем он станет зеленым","Orso di rame che non ha mai bisogno di un veterinario, ma diventerà verde con il tempo","Urso de cobre que nunca precisa de um veterinário, mas ficará verde com o tempo","Réz medve, amely soha nem igényel állatorvost, de idővel zölddé válik","銅製のクマは獣医を必要としませんが、時間が経つと緑色になります","Kobberbjørn som aldri trenger en veterinær, men vil bli grønn med alderen","Miedziany niedźwiedź, który nigdy nie potrzebuje weterynarza, ale z wiekiem zielenieje","Koperen beer die nooit een dierenarts nodig heeft, maar groen wordt met de tijd","Urs din cupru care nu are nevoie niciodată de un veterinar, dar va deveni verde cu timpul","Kobberbjørn som aldrig behøver en dyrlæge, men vil blive grøn med alderen","Měděný medvěd, který nikdy nepotřebuje veterináře, ale časem zzelená","Kopparbjörn som aldrig behöver en veterinär, men kommer att bli grön med åldern","","","","",""
"","Copper Lion Statue","Copper Lion Statue","Statue de lion en cuivre","Estatua de león de cobre","Kupferlöwenstatue","구리 사자 동상","Estátua de leão de cobre","铜狮子雕像","Медная статуя льва","Statua di leone in rame","Estátua de leão de cobre","Réz oroszlán szobor","銅のライオンの彫像","Kobberløvestatue","Miedziany posąg lwa","Koperen Leeuwenstandbeeld","Statuie cu leu din cupru","Kobberløvestatue","Měděná socha lva","Kopparlejonstaty","","","","",""
"","Lion made of copper that never needs a veterinarian, but will turn green with age","Lion made of copper that never needs a veterinarian, but will turn green with age","Lion en cuivre qui n'a jamais besoin de vétérinaire, mais qui deviendra vert avec le temps","León de cobre que nunca necesita un veterinario, pero se pondrá verde con el tiempo","Ein Löwe aus Kupfer, der nie einen Tierarzt braucht, aber mit der Zeit grün wird","구리로 만든 사자는 수의사가 필요 없지만 시간이 지남에 따라 녹색으로 변합니다","Leão de cobre que nunca precisa de um veterinário, mas ficará verde com o tempo","铜制的狮子永远不需要兽医，但会随着时间变绿","Лев из меди, которому никогда не нужен ветеринар, но со временем он станет зеленым","Leone di rame che non ha mai bisogno di un veterinario, ma diventerà verde con il tempo","Leão de cobre que nunca precisa de um veterinário, mas ficará verde com o tempo","Réz oroszlán, amely soha nem igényel állatorvost, de idővel zölddé válik","銅製のライオンは獣医を必要としませんが、時間が経つと緑色になります","Kobberløve som aldri trenger en veterinær, men vil bli grønn med alderen","Miedziany lew, który nigdy nie potrzebuje weterynarza, ale z wiekiem zielenieje","Koperen leeuw die nooit een dierenarts nodig heeft, maar groen wordt met de tijd","Leu din cupru care nu are nevoie niciodată de un veterinar, dar va deveni verde cu timpul","Kobberløve som aldrig behøver en dyrlæge, men vil blive grøn med alderen","Měděný lev, který nikdy nepotřebuje veterináře, ale časem zzelená","Kopparlejon som aldrig behöver en veterinär, men kommer att bli grön med åldern","","","","",""
"","Copper Penguin Statue","Copper Penguin Statue","Statue de pingouin en cuivre","Estatua de pingüino de cobre","Kupferpinguinstatue","구리 펭귄 동상","Estátua de pinguim de cobre","铜企鹅雕像","Медная статуя пингвина","Statua di pinguino in rame","Estátua de pinguim de cobre","Réz pingvin szobor","銅のペンギンの彫像","Kobberpingvinstatue","Miedziany posąg pingwina","Koperen Pinguïnstandbeeld","Statuie cu pinguin din cupru","Kobberpingvinstatue","Měděná socha tučňáka","Kopparpingvinstaty","","","","",""
"","Penguin made of copper that never needs a veterinarian, but will turn green with age","Penguin made of copper that never needs a veterinarian, but will turn green with age","Pingouin en cuivre qui n'a jamais besoin de vétérinaire, mais qui deviendra vert avec le temps","Pingüino de cobre que nunca necesita un veterinario, pero se pondrá verde con el tiempo","Ein Pinguin aus Kupfer, der nie einen Tierarzt braucht, aber mit der Zeit grün wird","구리로 만든 펭귄은 수의사가 필요 없지만 시간이 지남에 따라 녹색으로 변합니다","Pinguim de cobre que nunca precisa de um veterinário, mas ficará verde com o tempo","铜制的企鹅永远不需要兽医，但会随着时间变绿","Пингвин из меди, которому никогда не нужен ветеринар, но со временем он станет зеленым","Pinguino di rame che non ha mai bisogno di un veterinario, ma diventerà verde con il tempo","Pinguim de cobre que nunca precisa de um veterinário, mas ficará verde com o tempo","Réz pingvin, amely soha nem igényel állatorvost, de idővel zölddé válik","銅製のペンギンは獣医を必要としませんが、時間が経つと緑色になります","Kobberpingvin som aldri trenger en veterinær, men vil bli grønn med alderen","Miedziany pingwin, który nigdy nie potrzebuje weterynarza, ale z wiekiem zielenieje","Koperen pinguïn die nooit een dierenarts nodig heeft, maar groen wordt met de tijd","Pinguin din cupru care nu are nevoie niciodată de un veterinar, dar va deveni verde cu timpul","Kobberpingvin som aldrig behøver en dyrlæge, men vil blive grøn med alderen","Měděný tučňák, který nikdy nepotřebuje veterináře, ale časem zzelená","Kopparpingvin som aldrig behöver en veterinär, men kommer att bli grön med åldern","","","","",""
"","Copper Pig Statue","Copper Pig Statue","Statue de cochon en cuivre","Estatua de cerdo de cobre","Kupferschweinestatue","구리 돼지 동상","Estátua de porco de cobre","铜猪雕像","Медная статуя свиньи","Statua di maiale di rame","Estátua de porco de cobre","Réz disznó szobor","銅の豚の彫像","Kobbersvinstatue","Miedziana statua świni","Koperen Varkensstandbeeld","Statuie cu porc din cupru","Kobbersvinstatue","Měděná socha prasete","Kopparsvinstaty","","","","",""
"","Pig made of copper that never needs a veterinarian, but will turn green with age","Pig made of copper that never needs a veterinarian, but will turn green with age","Cochon en cuivre qui n'a jamais besoin d'un vétérinaire, mais qui devient vert avec l'âge","Cerdo de cobre que nunca necesita un veterinario, pero se volverá verde con la edad","Ein Kupferschwein, das nie einen Tierarzt braucht, aber mit der Zeit grün wird","수의사가 필요하지 않지만 시간이 지나면 녹색으로 변하는 구리로 만든 돼지","Porco de cobre que nunca precisa de um veterinário, mas ficará verde com a idade","铜制的猪从不需要兽医，但会随着时间变绿","Медная свинья, которая нико","","","","","","","","","","","","","","","",
