Context,"English","Gibberish","French","Spanish","German","Korean","BrazillianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","Turkish"
"","Road Compactor","Road Compactor","Compacteur routier","Compactador de caminos","Straßenwalze","","","","","","","","","","","","","","","","","","","",""
"","A simple hand-pushed roller that compacts dirt into roads — no engine required, just determination.","A simple hand-pushed roller that compacts dirt into roads — no engine required, just determination.","Un simple rouleau poussé à la main qui compacte la terre en routes — pas besoin de moteur, juste de la détermination.","Un rodillo simple empujado a mano que compacta la tierra en caminos — no necesita motor, solo determinación.","Eine einfache handgeschobene Walze, die Erde zu Straßen verdichtet — kein Motor nötig, nur Entschlossenheit.","","","","","","","","","","","","","","","","","","","",""
"","Rustic Lawnmower","Rustic Lawnmower","Tondeuse rustique","Cortacésped rústico","Rustikaler Rasenmäher","","","","","","","","","","","","","","","","","","","",""
"","A primitive reel mower that cuts grass with nothing but muscle power. Slow but available long before modern machinery.","A primitive reel mower that cuts grass with nothing but muscle power. Slow but available long before modern machinery.","Une tondeuse hélicoïdale primitive qui coupe l'herbe à la seule force des bras. Lente mais disponible bien avant les machines modernes.","Una cortadora de carrete primitiva que corta el césped solo con fuerza muscular. Lenta pero disponible mucho antes de la maquinaria moderna.","Ein primitiver Spindelmäher, der Gras nur mit Muskelkraft schneidet. Langsam, aber verfügbar lange vor modernen Maschinen.","","","","","","","","","","","","","","","","","","","",""
"","Wheeled Seed Drill","Wheeled Seed Drill","Semoir à roues","Sembradora con ruedas","Radsämaschine","","","","","","","","","","","","","","","","","","","",""
"","A rudimentary wheeled planter that sows seeds as you push it through tilled soil. A farmer's first step toward efficient planting.","A rudimentary wheeled planter that sows seeds as you push it through tilled soil. A farmer's first step toward efficient planting.","Un semoir rudimentaire à roues qui sème les graines en le poussant dans la terre labourée. Le premier pas d'un fermier vers un semis efficace.","Una sembradora rudimentaria con ruedas que siembra semillas mientras la empujas por la tierra arada. El primer paso de un agricultor hacia la siembra eficiente.","Eine einfache Radsämaschine, die Samen sät, während man sie durch gepflügten Boden schiebt. Der erste Schritt eines Bauern zu effizienter Aussaat.","","","","","","","","","","","","","","","","","","","",""
"","Wheeled Reaper","Wheeled Reaper","Moissonneuse à roues","Segadora con ruedas","Radmähmaschine","","","","","","","","","","","","","","","","","","","",""
"","A basic wheeled harvester that gathers crops as you push it through fields. Modest but effective before mechanized farming.","A basic wheeled harvester that gathers crops as you push it through fields. Modest but effective before mechanized farming.","Une moissonneuse à roues basique qui récolte les cultures en la poussant à travers les champs. Modeste mais efficace avant l'agriculture mécanisée.","Una cosechadora con ruedas básica que recoge cultivos mientras la empujas por los campos. Modesta pero efectiva antes de la agricultura mecanizada.","Ein einfacher Radernter, der Feldfrüchte einsammelt, während man ihn über die Felder schiebt. Bescheiden aber effektiv vor der mechanisierten Landwirtschaft.","","","","","","","","","","","","","","","","","","","",""
"","Handle Bar","Handle Bar","Poignée de guidon","Manillar","Lenkstange","","","","","","","","","","","","","","","","","","","",""
"","A sturdy iron bar fitted with a wooden grip. A common component used to steer and push various hand-powered tools.","A sturdy iron bar fitted with a wooden grip. A common component used to steer and push various hand-powered tools.","Une barre de fer robuste équipée d'une poignée en bois. Un composant commun utilisé pour diriger et pousser divers outils manuels.","Una barra de hierro resistente con un agarre de madera. Un componente común utilizado para dirigir y empujar diversas herramientas manuales.","Eine robuste Eisenstange mit einem Holzgriff. Eine gängige Komponente zum Lenken und Schieben verschiedener handbetriebener Werkzeuge.","","","","","","","","","","","","","","","","","","","",""
